Name,Full_Address,Street_Address,City,Zip,State,Country,Phone_1,Email,Website,Domain,First_category,Second_category,Claimed_google_my_business,Reviews_count,Average_rating,Business Status,Hours,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Latitude,Longitude,GMB_URL,Google_Knowledge_URL,Image_URL,Favicon,Review_URL,Phone From WEBSITE,Facebook URL,Twitter URL,Instagram URL,Youtube URL
Ashland Cycle Sport,191 Oak St  Ashland  OR 97520  United States,191 Oak St,Ashland,97520,Oregon,US,15414880581,,http://www.roguecycle.com/,roguecycle.com,Bicycle store, ,Yes,50,4.4,open,"Friday, 9:30â€¯AM-5:30â€¯PM; Saturday, 9:30â€¯AM-5:30â€¯PM; Sunday, Closed; Monday, Closed; Tuesday, 9:30â€¯AM-5:30â€¯PM; Wednesday, 9:30â€¯AM-5:30â€¯PM; Thursday, 9:30â€¯AM-5:30â€¯PM; ",9:30â€¯AM-5:30â€¯PM,Closed,Closed,9:30â€¯AM-5:30â€¯PM,9:30â€¯AM-5:30â€¯PM,9:30â€¯AM-5:30â€¯PM,9:30â€¯AM-5:30â€¯PM,Lat 42.198539,Lng -122.7141159,https://www.google.com/maps/place/?q=place_id:ChIJx1me8lNzz1QROS4iZcrz27Y,https://www.google.com/search?kgmid=/g/1tz713v0,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIC40qWp9gE,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.roguecycle.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJx1me8lNzz1QROS4iZcrz27Y&q=bicycle+shop+near+Jefferson,+Oregon,+USA&authuser=0&hl=en",541-488-0581 | 541-857-0819,https://www.facebook.com/Ashland-Cycle-Sport-302005899844056/, ,,
Echo Bike & Board LLC,135 W Coe Ave  Stanfield  OR 97875  United States,135 W Coe Ave,Stanfield,97875,Oregon,US,15413768500,,http://www.echored2red.com/,echored2red.com,Bicycle store, ,No,,,permanently closed, ,,,,,,,,Lat 45.780330799999994,Lng -119.2183937,https://www.google.com/maps/place/?q=place_id:ChIJm1w52iTAqkERnMUMEl5nFZw,https://www.google.com/search?kgmid=/g/11b7hfp4xk,https://lh5.googleusercontent.com/p/24mnCyS2yB1CWKzDhIVqrQ,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.echored2red.com/&size=48", ,,https://www.facebook.com/echored2red/, ,,
The eBike Shop Portland,SW Chelmsford Ave  Portland  OR 97201  United States,SW Chelmsford Ave,Portland,97201,Oregon,US,15032084224,,https://portland.theebikeshop.com/,portland.theebikeshop.com,Bicycle store, ,Yes,8,5,open,"Friday, 12-8â€¯PM; Saturday, 11-11:30â€¯AM; Sunday, 11â€¯AM-6â€¯PM; Monday, 12-8â€¯PM; Tuesday, 12-8â€¯PM; Wednesday, 12-8â€¯PM; Thursday, 12-8â€¯PM; ",11-11:30â€¯AM,11â€¯AM-6â€¯PM,12-8â€¯PM,12-8â€¯PM,12-8â€¯PM,12-8â€¯PM,12-8â€¯PM,Lat 45.506151599999995,Lng -122.68788049999999,https://www.google.com/maps/place/?q=place_id:ChIJ_-99P2_yUCcR82hJjEQlSOQ,https://www.google.com/search?kgmid=/g/11yd0m3j34,https://lh5.googleusercontent.com/p/AF1QipN4qSKYKvW-_RkchCNd57iu-sG65E9WlOnzxy5W,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://portland.theebikeshop.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJ_-99P2_yUCcR82hJjEQlSOQ&q=bicycle+shop+near+King,+Oregon,+USA&authuser=0&hl=en",503-208-4224,https://www.facebook.com/THEeBikeShopPortland/, ,,
JoeReTulFitPDX,2021 NE Martin Luther King Jr Blvd  Portland  OR 97212  United States,2021 NE Martin Luther King Jr Blvd,Portland,97212,Oregon,US,13606083396,,https://www.joeretulfitpdx.com/,joeretulfitpdx.com,Bicycle store, ,Yes,2,5,open,"Friday, 8â€¯AM-6â€¯PM; Saturday, Closed; Sunday, Closed; Monday, 8â€¯AM-6â€¯PM; Tuesday, 8â€¯AM-6â€¯PM; Wednesday, 8â€¯AM-6â€¯PM; Thursday, 8â€¯AM-6â€¯PM; ",Closed,Closed,8â€¯AM-6â€¯PM,8â€¯AM-6â€¯PM,8â€¯AM-6â€¯PM,8â€¯AM-6â€¯PM,8â€¯AM-6â€¯PM,Lat 45.5375137,Lng -122.6619664,https://www.google.com/maps/place/?q=place_id:ChIJP1F4fdSnlVQRFZSV5F5aNPY,https://www.google.com/search?kgmid=/g/11y5gs40gp,https://lh5.googleusercontent.com/p/lWNaSSvbpYtjhBJT_vrWmA,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.joeretulfitpdx.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJP1F4fdSnlVQRFZSV5F5aNPY&q=bicycle+shop+near+King,+Oregon,+USA&authuser=0&hl=en",, , ,,
Newberg Bicycle Shoppe,500 E 1st St  Newberg  OR 97132  United States,500 E 1st St,Newberg,97132,Oregon,US,19713338466,,,,Bicycle rental service, ,Yes,7,4.4,permanently closed, ,,,,,,,,Lat 45.300176199999996,Lng -122.97492799999999,https://www.google.com/maps/place/?q=place_id:ChIJ47mrYdFBlVQRgyJSjJTAzRA,https://www.google.com/search?kgmid=/g/1tfc1qwl,https://lh5.googleusercontent.com/p/G7SDVyhFDWskr6P0svh16A, ,https://search.google.com/local/reviews?placeid=ChIJ47mrYdFBlVQRgyJSjJTAzRA&q=Newberg+Bicycle+Shoppe&authuser=0&hl=en, , , , , 
Bend Oregon Bike Rentals,170 SW Scalehouse Loop  Bend  OR 97702  United States,170 SW Scalehouse Loop,Bend,97702,Oregon,US,,,,,Bicycle rental service, ,No,3,5,open, ,,,,,,,,Lat 44.0480223,Lng -121.3101267,https://www.google.com/maps/place/?q=place_id:ChIJfc1ZiMHHuFQRR-XHt3wmDsU,https://www.google.com/search?kgmid=/g/11fl0_wfml,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDO_ZvGUg, ,"https://search.google.com/local/reviews?placeid=ChIJfc1ZiMHHuFQRR-XHt3wmDsU&q=bicycle+shop+near+Bend,+Oregon,+USA&authuser=0&hl=en", , , , , 
J-Eck's Bike Repair,16440 SW Cromwell Ct  Tigard  OR 97223  United States,16440 SW Cromwell Ct,Tigard,97223,Oregon,US,15033807601,,,,Bicycle repair shop, ,Yes,,,Temporarily closed, ,,,,,,,,Lat 45.4248237,Lng -122.8463871,https://www.google.com/maps/place/?q=place_id:ChIJ4eCxMgATlVQRDCUaRaVuIKY,https://www.google.com/search?kgmid=/g/11vwyw4_8r,https://lh5.googleusercontent.com/p/xra4pDmh8xfRZgNia-YtIg, , , , , , , 
Gorge Wrap n Ride,844 Adams Loop  Hood River  OR 97031  United States,844 Adams Loop,Hood River,97031,Oregon,US,15412888220,,,,Bicycle repair shop, ,No,,,open,"Friday, 10â€¯AM-5â€¯PM; Saturday, Closed; Sunday, Closed; Monday, 10â€¯AM-5â€¯PM; Tuesday, 10â€¯AM-5â€¯PM; Wednesday, 10â€¯AM-5â€¯PM; Thursday, 10â€¯AM-5â€¯PM; ",Closed,Closed,10â€¯AM-5â€¯PM,10â€¯AM-5â€¯PM,10â€¯AM-5â€¯PM,10â€¯AM-5â€¯PM,10â€¯AM-5â€¯PM,Lat 45.6951045,Lng -121.5374574,https://www.google.com/maps/place/?q=place_id:ChIJ50mknzsPllQRdICuRZuNrpQ,https://www.google.com/search?kgmid=/g/11wbyw1tzq,https://lh5.googleusercontent.com/p/H10YsBi5_hy_rXLFjMshKQ, , , , , , , 
Linfield Bike Co-Op,300 SE College Ave  McMinnville  OR 97128  United States,300 SE College Ave,McMinnville,97128,Oregon,US,15038832200,,,,Bicycle repair shop, ,No,1,1,Temporarily closed, ,,,,,,,,Lat 45.2018525,Lng -123.19712919999999,https://www.google.com/maps/place/?q=place_id:ChIJ8djdHdhIlVQR9VTzVOdIb0U,https://www.google.com/search?kgmid=/g/1vd94t92,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDEiYXOaQ, ,"https://search.google.com/local/reviews?placeid=ChIJ8djdHdhIlVQR9VTzVOdIb0U&q=bicycle+shop+near+Willamina,+Oregon,+USA&authuser=0&hl=en", , , , , 
Stayton Cycles,915 N 4th Ave  Stayton  OR 97383  United States,915 N 4th Ave,Stayton,97383,Oregon,US,15038773835,,,,Bicycle repair shop, ,Yes,,,permanently closed, ,,,,,,,,Lat 44.8016471,Lng -122.79148079999999,https://www.google.com/maps/place/?q=place_id:ChIJAdc-4sf1v1QRfHP8YCOHaMI,https://www.google.com/search?kgmid=/g/11wftw2t5v,https://lh5.googleusercontent.com/p/AF1QipPbOJEz4fAFCosZ8bSFMlMh4Ex26SXeZsmesp8l, , , , , , , 
Sid's Small Motor and Bicycle Repair,28 W First St  Coquille  OR 97423  United States,28 W First St,Coquille,97423,Oregon,US,15415510832,,,,Bicycle repair shop, ,No,1,4,permanently closed, ,,,,,,,,Lat 43.1754831,Lng -124.1897515,https://www.google.com/maps/place/?q=place_id:ChIJh76TQzeHxFQRillTpoyjlac,https://www.google.com/search?kgmid=/g/11g4jbh9j7,https://lh5.googleusercontent.com/p/97cyLfwQzE0ARmnd2ffffg, ,"https://search.google.com/local/reviews?placeid=ChIJh76TQzeHxFQRillTpoyjlac&q=bicycle+shop+near+Coquille,+Oregon,+USA&authuser=0&hl=en", , , , , 
Ray's Mobile Bicycle Repair,444 S 13th St  St Helens  OR 97051  United States,444 S 13th St,St Helens,97051,Oregon,US,15033972729,,,,Bicycle repair shop, ,No,14,5,open, ,,,,,,,,Lat 45.8548945,Lng -122.80801939999999,https://www.google.com/maps/place/?q=place_id:ChIJK5mOJdhRlFQRN4Mw1dZihYQ,https://www.google.com/search?kgmid=/g/1thxqbwx,https://lh5.googleusercontent.com/p/en6tLBuZOfRDMNbNSIv_XQ, ,"https://search.google.com/local/reviews?placeid=ChIJK5mOJdhRlFQRN4Mw1dZihYQ&q=bicycle+shop+near+Vernonia,+Oregon,+USA&authuser=0&hl=en", , , , , 
The Audacity,nothing yet  The Dalles  OR 97058  United States,nothing yet,The Dalles,97058,Oregon,US,,,,,Bicycle store, ,Yes,,,open, ,,,,,,,,Lat 45.6017716,Lng -121.1848433,https://www.google.com/maps/place/?q=place_id:ChIJ_5FfztofllQRTRhtibCHBlo,https://www.google.com/search?kgmid=/g/11xvf9g4fq,https://lh5.googleusercontent.com/p/AF1QipM-Q-0mcszfhnV566d0RUzGG841YEE-4qEhK0tp, , , , , , , 
Tall Town Bike & Camp,19 N E St  Lakeview  OR 97630  United States,19 N E St,Lakeview,97630,Oregon,US,15033146095,,,,Bicycle store, ,Yes,17,5,open,"Saturday, 10:30â€¯AM-5â€¯PM; Sunday, Closed; Monday, Closed; Tuesday, Closed; Wednesday, 11â€¯AM-5â€¯PM; Thursday, 10â€¯AM-5â€¯PM; Friday, 9:30â€¯AM-5â€¯PM; ",10:30â€¯AM-5â€¯PM,Closed,Closed,Closed,11â€¯AM-5â€¯PM,10â€¯AM-5â€¯PM,9:30â€¯AM-5â€¯PM,Lat 42.1899452,Lng -120.34517849999999,https://www.google.com/maps/place/?q=place_id:ChIJ-0fODVaTyVQRPgweQhi4e4g,https://www.google.com/search?kgmid=/g/11gjmvdqg5,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDL6tmQGg, ,"https://search.google.com/local/reviews?placeid=ChIJ-0fODVaTyVQRPgweQhi4e4g&q=bicycle+shop+near+Willamina,+Oregon,+USA&authuser=0&hl=en", , , , , 
Discover Bicycles,Downtown at the Corner of 3rd and State  210 State St  Hood River  OR 97031  United States,Downtown at the Corner of 3rd and State,Hood River,97031,Oregon,US,15413864820,,,,Bicycle store,Bicycle repair shop,Yes,68,4.3,open,"Friday, 11â€¯AM-5â€¯PM; Saturday, 11â€¯AM-5â€¯PM; Sunday, Closed; Monday, Closed; Tuesday, 11â€¯AM-5â€¯PM; Wednesday, 11â€¯AM-5â€¯PM; Thursday, 11â€¯AM-5â€¯PM; ",11â€¯AM-5â€¯PM,Closed,Closed,11â€¯AM-5â€¯PM,11â€¯AM-5â€¯PM,11â€¯AM-5â€¯PM,11â€¯AM-5â€¯PM,Lat 45.7083333,Lng -121.51314439999999,https://www.google.com/maps/place/?q=place_id:ChIJ0T1uz2gOllQRbqBbT5w4MJY,https://www.google.com/search?kgmid=/g/1tg6pt_s,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDckPLgKA, ,"https://search.google.com/local/reviews?placeid=ChIJ0T1uz2gOllQRbqBbT5w4MJY&q=bicycle+shop+near+Hood+River,+Oregon,+USA&authuser=0&hl=en", , , , , 
Local Cyclist,8680 SW Old Tualatin-Sherwood Rd  Tualatin  OR 97062  United States,8680 SW Old Tualatin-Sherwood Rd,Tualatin,97062,Oregon,US,,,,,Bicycle store, ,No,,,open, ,,,,,,,,Lat 45.380465799999996,Lng -122.76704769999999,https://www.google.com/maps/place/?q=place_id:ChIJ2wmAKABzlVQRUOsaUJPZCCw,https://www.google.com/search?kgmid=/g/11mdx0nwgr,https://lh5.googleusercontent.com/p/79z1CiuecNFckoysDLAH_g, , , , , , , 
Sandy Bicycle,39120 Proctor Blvd Suite 2  Sandy  OR 97055  United States,39120 Proctor Blvd Suite 2,Sandy,97055,Oregon,US,15038261070,,,,Bicycle store,Bicycle repair shop,Yes,51,4.8,open,"Friday, 10â€¯AM-6â€¯PM; Saturday, 10â€¯AM-4â€¯PM; Sunday, Closed; Monday, Closed; Tuesday, 10â€¯AM-6â€¯PM; Wednesday, 10â€¯AM-6â€¯PM; Thursday, 10â€¯AM-6â€¯PM; ",10â€¯AM-4â€¯PM,Closed,Closed,10â€¯AM-6â€¯PM,10â€¯AM-6â€¯PM,10â€¯AM-6â€¯PM,10â€¯AM-6â€¯PM,Lat 45.39698,Lng -122.26069269999999,https://www.google.com/maps/place/?q=place_id:ChIJ3ehgJjiFlVQR46n2msMu0AI,https://www.google.com/search?kgmid=/g/1tsblvdc,https://lh5.googleusercontent.com/p/AF1QipPz_CL4B5_Z37nMS4eOFZSOZX40vSzkISmxSBs0, ,"https://search.google.com/local/reviews?placeid=ChIJ3ehgJjiFlVQR46n2msMu0AI&q=bicycle+shop+near+Pendleton,+Oregon,+USA&authuser=0&hl=en", , , , , 
Len's Bikes,156 S 20th St #C  Springfield  OR 97477  United States,156 S 20th St #C,Springfield,97477,Oregon,US,15419683968,,,,Bicycle store, ,Yes,56,4.5,open,"Friday, 10â€¯AM-4â€¯PM; Saturday, 10â€¯AM-4â€¯PM; Sunday, Closed; Monday, Closed; Tuesday, 10â€¯AM-4â€¯PM; Wednesday, 10â€¯AM-4â€¯PM; Thursday, 10â€¯AM-4â€¯PM; ",10â€¯AM-4â€¯PM,Closed,Closed,10â€¯AM-4â€¯PM,10â€¯AM-4â€¯PM,10â€¯AM-4â€¯PM,10â€¯AM-4â€¯PM,Lat 44.0453881,Lng -122.99592469999999,https://www.google.com/maps/place/?q=place_id:ChIJ6UCn8lrgwFQRMzoPdeigIEQ,https://www.google.com/search?kgmid=/g/11f54kdh5p,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDalMfiQQ, ,"https://search.google.com/local/reviews?placeid=ChIJ6UCn8lrgwFQRMzoPdeigIEQ&q=bicycle+shop+near+Creswell,+Oregon,+USA&authuser=0&hl=en", , , , , 
Moe's Bike Shop,1397 Sherman Ave  North Bend  OR 97459  United States,1397 Sherman Ave,North Bend,97459,Oregon,US,15417567536,,,,Bicycle store,Bicycle repair shop,Yes,76,4.8,open,"Friday, 10â€¯AM-5â€¯PM; Saturday, 10â€¯AM-4â€¯PM; Sunday, Closed; Monday, Closed; Tuesday, 10â€¯AM-5â€¯PM; Wednesday, 10â€¯AM-5â€¯PM; Thursday, 10â€¯AM-5â€¯PM; ",10â€¯AM-4â€¯PM,Closed,Closed,10â€¯AM-5â€¯PM,10â€¯AM-5â€¯PM,10â€¯AM-5â€¯PM,10â€¯AM-5â€¯PM,Lat 43.415065299999995,Lng -124.22377089999999,https://www.google.com/maps/place/?q=place_id:ChIJ723w_XGFw1QRuoINof5DBV4,https://www.google.com/search?kgmid=/g/1v6qhbs9,https://lh5.googleusercontent.com/p/AF1QipNB4ffKC3lYsAoT4HTiGIR4gZ_9ethEpB-WyHXM, ,"https://search.google.com/local/reviews?placeid=ChIJ723w_XGFw1QRuoINof5DBV4&q=bicycle+shop+near+Winston,+Oregon,+USA&authuser=0&hl=en", , , , , 
Dreamweaver Cyclery,22059 OR-62  Shady Cove  OR 97539  United States,22059 OR-62,Shady Cove,97539,Oregon,US,14582204918,,,,Bicycle store, ,Yes,,,open, ,,,,,,,,Lat 42.6182552,Lng -122.81075799999999,https://www.google.com/maps/place/?q=place_id:ChIJ7c9bABLzxVQR9TM8SdEg4SQ,https://www.google.com/search?kgmid=/g/11svz9xqsn,https://lh5.googleusercontent.com/p/8XtjHRKCrZpeSjDYcd6ukQ, , , , , , , 
Eastern Oregon Cycles,122 S Oregon St  Ontario  OR 97914  United States,122 S Oregon St,Ontario,97914,Oregon,US,15418895513,,,,Bicycle store, ,No,12,4.9,permanently closed, ,,,,,,,,Lat 44.025424,Lng -116.96296199999999,https://www.google.com/maps/place/?q=place_id:ChIJ85lm1K-Pr1QRJiKrfdgyTAU,https://www.google.com/search?kgmid=/g/1264dwv7b,https://lh5.googleusercontent.com/p/XD-Ck0ot7Xcc7d2M5z4psg, ,"https://search.google.com/local/reviews?placeid=ChIJ85lm1K-Pr1QRJiKrfdgyTAU&q=bicycle+shop+near+Fruitland,+Idaho,+USA&authuser=0&hl=en", , , , , 
Hutch's Bicycle Store (Springfield),2100 Main St  Springfield  OR 97477  United States,2100 Main St,Springfield,97477,Oregon,US,15417412453,,,,Bicycle store, ,No,60,4.4,permanently closed, ,,,,,,,,Lat 44.046053699999995,Lng -122.99427,https://www.google.com/maps/place/?q=place_id:ChIJ8U6CZ1rgwFQR1zBoxzmlJpw,https://www.google.com/search?kgmid=/g/1tqg01db,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgID4ue3IhAE, ,"https://search.google.com/local/reviews?placeid=ChIJ8U6CZ1rgwFQR1zBoxzmlJpw&q=bicycle+shop+near+Springfield,+Oregon,+USA&authuser=0&hl=en", , , , , 
The Missing Link,4635 SE Woodstock Blvd  Portland  OR 97206  United States,4635 SE Woodstock Blvd,Portland,97206,Oregon,US,15032068854,,,,Bicycle store, ,No,75,3.5,open,"Friday, 10â€¯AM-4â€¯PM; Saturday, 10â€¯AM-3â€¯PM; Sunday, Closed; Monday, Closed; Tuesday, 10â€¯AM-4â€¯PM; Wednesday, 10â€¯AM-4â€¯PM; Thursday, 10â€¯AM-4â€¯PM; ",10â€¯AM-3â€¯PM,Closed,Closed,10â€¯AM-4â€¯PM,10â€¯AM-4â€¯PM,10â€¯AM-4â€¯PM,10â€¯AM-4â€¯PM,Lat 45.479375,Lng -122.61469459999999,https://www.google.com/maps/place/?q=place_id:ChIJ9ydcsqAKlVQRPHOQxQ-Rnv4,https://www.google.com/search?kgmid=/g/11ckvfrg6r,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDEuobh9QE, ,"https://search.google.com/local/reviews?placeid=ChIJ9ydcsqAKlVQRPHOQxQ-Rnv4&q=bicycle+shop+near+Wilsonville,+Oregon,+USA&authuser=0&hl=en", , , , , 
Arriving By Bike Showroom,23 E 28th Ave  Eugene  OR 97405  United States,23 E 28th Ave,Eugene,97405,Oregon,US,15414845410,,,,Bicycle store, ,Yes,,,open,"Friday, 10â€¯AM-6â€¯PM; Saturday, 10â€¯AM-6â€¯PM; Sunday, 12-5â€¯PM; Monday, 10â€¯AM-6â€¯PM; Tuesday, Closed; Wednesday, 10â€¯AM-6â€¯PM; Thursday, 10â€¯AM-6â€¯PM; ",10â€¯AM-6â€¯PM,12-5â€¯PM,10â€¯AM-6â€¯PM,Closed,10â€¯AM-6â€¯PM,10â€¯AM-6â€¯PM,10â€¯AM-6â€¯PM,Lat 44.0283362,Lng -123.09009289999999,https://www.google.com/maps/place/?q=place_id:ChIJ-a_Cb1MewVQRmBWzrDUm1_4,https://www.google.com/search?kgmid=/g/1jglv1qc9,https://lh5.googleusercontent.com/p/Xk9wsPz3XWoitsJuYP8EGA, , , , , , , 
Bikes N More,200 NW 1st Ave  Canby  OR 97013  United States,200 NW 1st Ave,Canby,97013,Oregon,US,15032669535,,,,Bicycle store, ,No,63,4.2,permanently closed, ,,,,,,,,Lat 45.2624983,Lng -122.6942196,https://www.google.com/maps/place/?q=place_id:ChIJbSF493hllVQR6oRKysYEigI,https://www.google.com/search?kgmid=/g/1v2yyl4d,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgID406WqqQE, ,"https://search.google.com/local/reviews?placeid=ChIJbSF493hllVQR6oRKysYEigI&q=bicycle+shop+near+Hubbard,+Oregon,+USA&authuser=0&hl=en", , , , , 
Willamette Valley Cyclery,20345 SW Pacific Hwy # 200  Sherwood  OR 97140  United States,20345 SW Pacific Hwy # 200,Sherwood,97140,Oregon,US,15039259000,,,,Bicycle store, ,No,3,5,permanently closed, ,,,,,,,,Lat 45.3729333,Lng -122.84013669999999,https://www.google.com/maps/place/?q=place_id:ChIJBYzEeN9slVQRGF8J5YlSgQA,https://www.google.com/search?kgmid=/g/1tzgny53,https://lh5.googleusercontent.com/p/WRqgBXpjL6lkVQ67770fVA, ,"https://search.google.com/local/reviews?placeid=ChIJBYzEeN9slVQRGF8J5YlSgQA&q=bicycle+shop+near+Wilsonville,+Oregon,+USA&authuser=0&hl=en", , , , , 
Veal Bikes Plus,155 Main St W  Monmouth  OR 97361  United States,155 Main St W,Monmouth,97361,Oregon,US,15038371837,,,,Bicycle store, ,No,7,4.9,permanently closed, ,,,,,,,,Lat 44.8484562,Lng -123.2367026,https://www.google.com/maps/place/?q=place_id:ChIJdT30DVQDwFQRVoZspFnhmDE,https://www.google.com/search?kgmid=/g/1pp2x869n,https://lh5.googleusercontent.com/p/QxWU72Ac6ZFs2RE3EuPiIg, ,https://search.google.com/local/reviews?placeid=ChIJdT30DVQDwFQRVoZspFnhmDE&q=Veal+Bikes+Plus&authuser=0&hl=en, , , , , 
Bandon Bicycle Works,20 10th St SE  Bandon  OR 97411  United States,20 10th St SE,Bandon,97411,Oregon,US,,,,,Bicycle store,Bicycle rack,No,36,4.8,permanently closed, ,,,,,,,,Lat 43.1140652,Lng -124.4147895,https://www.google.com/maps/place/?q=place_id:ChIJe0agcf-bxFQRrmWiHehoMX0,https://www.google.com/search?kgmid=/g/11k6hydyk9,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICq3pWk4gE, ,"https://search.google.com/local/reviews?placeid=ChIJe0agcf-bxFQRrmWiHehoMX0&q=bicycle+shop+near+Coquille,+Oregon,+USA&authuser=0&hl=en", , , , , 
Pendleton Bike & Board,320 S Main St  Pendleton  OR 97801  United States,320 S Main St,Pendleton,97801,Oregon,US,,,,,Bicycle store, ,No,,,permanently closed, ,,,,,,,,Lat 45.671411,Lng -118.7865379,https://www.google.com/maps/place/?q=place_id:ChIJg5seIFnholQRekUXkqUpSag,https://www.google.com/search?kgmid=/g/11cs2h90xg,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDksvnR4QE, , , , , , , 
Salmon Cyclery,418 E 2nd St  The Dalles  OR 97058  United States,418 E 2nd St,The Dalles,97058,Oregon,US,15412984500,,,,Bicycle store, ,No,3,1,permanently closed, ,,,,,,,,Lat 45.600066999999996,Lng -121.1798929,https://www.google.com/maps/place/?q=place_id:ChIJG8iO83MellQR0ePRy3JR74Y,https://www.google.com/search?kgmid=/g/1tdzfq9m,https://lh5.googleusercontent.com/p/aSH2kVEjSx7hw7GL64dSSQ, ,"https://search.google.com/local/reviews?placeid=ChIJG8iO83MellQR0ePRy3JR74Y&q=bicycle+shop+near+The+Dalles,+Oregon,+USA&authuser=0&hl=en", , , , , 
Bikes N Boards,31778 OR-213  Molalla  OR 97038  United States,31778 OR-213,Molalla,97038,Oregon,US,15038295072,,,,Bicycle store,Skateboard shop,No,,,permanently closed, ,,,,,,,,Lat 45.146634,Lng -122.60790899999999,https://www.google.com/maps/place/?q=place_id:ChIJH1rpfhlilVQRJFUKr3FxYlo,https://www.google.com/search?kgmid=/g/1tcwwfdf,https://lh5.googleusercontent.com/p/dQVu6IygaiQk3BgSeeaWsQ, , , , , , , 
Randall's Bike Shop,16165 SW Pacific Hwy #3440  Portland  OR 97224  United States,16165 SW Pacific Hwy #3440,Portland,97224,Oregon,US,15036201107,,,,Bicycle store,Bicycle repair shop,No,60,4.8,permanently closed, ,,,,,,,,Lat 45.402574099999995,Lng -122.7983828,https://www.google.com/maps/place/?q=place_id:ChIJI0FvFqtylVQRnni9awy3eJA,https://www.google.com/search?kgmid=/g/1td5qzwm,https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICkru2XIQ, ,"https://search.google.com/local/reviews?placeid=ChIJI0FvFqtylVQRnni9awy3eJA&q=bicycle+shop+near+Wilsonville,+Oregon,+USA&authuser=0&hl=en", , , , , 
LCC Custom Bike Designs,24454 SE Strawberry Dr  Damascus  OR 97089  United States,24454 SE Strawberry Dr,Damascus,97089,Oregon,US,19712192699,,,,Bicycle store, ,Yes,1,1,permanently closed, ,,,,,,,,Lat 45.4304598,Lng -122.41036539999999,https://www.google.com/maps/place/?q=place_id:ChIJie83owmclVQRiRR9lO1PN0k,https://www.google.com/search?kgmid=/g/1tdyky3y,https://lh5.googleusercontent.com/p/AF1QipOlFQxeiM2k3cpDh89fcEXSOSxiMaBlfZ3EZpjy, ,"https://search.google.com/local/reviews?placeid=ChIJie83owmclVQRiRR9lO1PN0k&q=bicycle+shop+near+Damascus,+Oregon,+USA&authuser=0&hl=en", , , , , 
Getaroundbikes,1260 Tucker Rd  Hood River  OR 97031  United States,1260 Tucker Rd,Hood River,97031,Oregon,US,,,,,Bicycle store, ,Yes,4,5,Temporarily closed, ,,,,,,,,Lat 45.684176,Lng -121.5292468,https://www.google.com/maps/place/?q=place_id:ChIJIztEKdwPllQRfuJxGMc-d0Y,https://www.google.com/search?kgmid=/g/11pd2vkhw9,https://lh5.googleusercontent.com/p/AF1QipPZN77TfeQNktp1SPLhigGDep7ca39Mjyy7ttcZ, ,"https://search.google.com/local/reviews?placeid=ChIJIztEKdwPllQRfuJxGMc-d0Y&q=bicycle+shop+near+Hood+River,+Oregon,+USA&authuser=0&hl=en", , , , , 
Brike International Ltd,20589 S W Elkhorn Ct  Tualatin  OR 97062  United States,20589 S W Elkhorn Ct,Tualatin,97062,Oregon,US,15036313291,,,,Bicycle store, ,No,1,1,open, ,,,,,,,,Lat 45.3708703,Lng -122.77963109999999,https://www.google.com/maps/place/?q=place_id:ChIJj4OMTnhtlVQRvU5SeRlK-j0,https://www.google.com/search?kgmid=/g/1tjpq68v,https://lh5.googleusercontent.com/p/qRnSZxWzPMMTYEGyAls3rA, ,"https://search.google.com/local/reviews?placeid=ChIJj4OMTnhtlVQRvU5SeRlK-j0&q=bicycle+shop+near+Wilsonville,+Oregon,+USA&authuser=0&hl=en", , , , , 
